Action,Short Action,File Name,Formal Stakeholder,Category,Insert Timestamp
"Continue to provide SEAI supports for small businesses across the country, including provision of advice through www.seai.ie, to help them to be more energy efficient and therefore more competitive and environmentally sustainable.",Provide SEAI energy efficiency support,Action Plan for Rural Development,Sustainable Energy Authority of Ireland,Semi-state agency ,2025-06-20T11:59:18.033Z
"Continue to provide SEAI supports for small businesses across the country, including provision of advice through www.seai.ie, to help them to be more energy efficient and therefore more competitive and environmentally sustainable.",Provide SEAI energy efficiency support,Action Plan for Rural Development,"Department of Communications, Climate Action and the Environment","Department of Environment, Climate and Communications",2025-06-20T11:59:18.033Z
"Continue to provide SEAI supports for small businesses across the country, including provision of advice through www.seai.ie, to help them to be more energy efficient and therefore more competitive and environmentally sustainable.",Provide SEAI energy efficiency support,Action Plan for Rural Development,Údarás na Gaeltachta,Government Semi State Agency,2025-06-20T11:59:18.033Z
"Continue implementation of the Forestry Programme (2014- 2020) by increasing annual planting, carbon sequestration and more effective land management.",Implement forestry and land programme,Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine",2025-06-20T11:59:18.033Z
"Continue implementation of the Forestry Programme (2014- 2020) by increasing annual planting, carbon sequestration and more effective land management.",Implement forestry and land programme,Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine",2025-06-20T11:59:18.033Z
"Bord na Móna as operator of the Enhanced Decommissioning Rehabilitation and Restoration Scheme (EDRRS), NPWS as Regulator of the scheme, and other relevant Departments will work in partnership to implement the scheme. Programmes will be in place on the EDRRS peatlands to monitor carbon emissions, water quality, vegetation, habitat and biodiversity",Implement peatland restoration monitoring,Ireland's 4th National Biodiversity Plan 2023 to 2030,Bord na Móna,Semi-State Agency,2025-06-20T11:59:18.033Z
"Bord na Móna as operator of the Enhanced Decommissioning Rehabilitation and Restoration Scheme (EDRRS), NPWS as Regulator of the scheme, and other relevant Departments will work in partnership to implement the scheme. Programmes will be in place on the EDRRS peatlands to monitor carbon emissions, water quality, vegetation, habitat and biodiversity",Implement peatland restoration monitoring,Ireland's 4th National Biodiversity Plan 2023 to 2030,National Parks and Wildlife Service,"Department of Housing, Local Government and Heritage",2025-06-20T11:59:18.033Z
"To support the National Climate Objective of achieving a climate resilient, biodiversity rich, environmentally sustainable and climate neutral economy, NPWS and other relevant bodies will promote freshwater, transitional, coastal, and marine nature-based solutions (such as coastal, and wetland restoration and restoring ‘blue carbon’ ecosystems’) in national, regional, and local rural and urban programmes",Promote nature-based coastal restoration,Ireland's 4th National Biodiversity Plan 2023 to 2030,National Parks and Wildlife Service,"Department of Housing, Local Government and Heritage",2025-06-20T11:59:18.033Z
"1.1.16. Establish and implement mechanisms for the payments of ecosystem services including carbon stocks, to generate increased revenue for biodiversity conservation and restoration",Establish ecosystem payment mechanisms,National Biodiversity Action Plan 2017 - 2021,Relevant Government Departments and Agencies,Government of Ireland,2025-06-20T11:59:18.033Z
"2.1.10. Continue forest research programme on forest biodiversity, the delivery of wider ecosystem services (e.g. protection of water), carbon accounting and the interaction of climate change and forest systems",Continue forest biodiversity research,National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine",2025-06-20T11:59:18.033Z
"2.1.10. Continue forest research programme on forest biodiversity, the delivery of wider ecosystem services (e.g. protection of water), carbon accounting and the interaction of climate change and forest systems",Continue forest biodiversity research,National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine",2025-06-20T11:59:18.033Z
"2.1.10. Continue forest research programme on forest biodiversity, the delivery of wider ecosystem services (e.g. protection of water), carbon accounting and the interaction of climate change and forest systems",Continue forest biodiversity research,National Biodiversity Action Plan 2017 - 2021,Forest Industries Ireland,Semi-State Agency,2025-06-20T11:59:18.033Z
"2.1.10. Continue forest research programme on forest biodiversity, the delivery of wider ecosystem services (e.g. protection of water), carbon accounting and the interaction of climate change and forest systems",Continue forest biodiversity research,National Biodiversity Action Plan 2017 - 2021,Academia and Research Institutions,Research and Regulatory,2025-06-20T11:59:18.033Z
"4.1.1. Development and implementation of agri-environment schemes (AES) under the current and next Rural Development Programme (i.e. Green, Low Carbon, Agri-environment Scheme (GLAS) and locally led AES (LLAES). Ensure AES achieve a quantifiable net gain for biodiversity and ecosystem services including significant habitat maintenance and restoration measures",Develop biodiversity agri-environment schemes,National Biodiversity Action Plan 2017 - 2021,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine",2025-06-20T11:59:18.033Z
"4.1.1. Development and implementation of agri-environment schemes (AES) under the current and next Rural Development Programme (i.e. Green, Low Carbon, Agri-environment Scheme (GLAS) and locally led AES (LLAES). Ensure AES achieve a quantifiable net gain for biodiversity and ecosystem services including significant habitat maintenance and restoration measures",Develop biodiversity agri-environment schemes,National Biodiversity Action Plan 2017 - 2021,Teagasc The Agriculture and Food Development Authority,Semi-state agency,2025-06-20T11:59:18.033Z
"Continue to provide SEAI supports for small businesses across the country, including provision of advice through www.seai.ie, to help them to be more energy efficient and therefore more competitive and environmentally sustainable.",Provide SEAI energy efficiency support,Realising our Rural Potential - Action Plan for Rural Development,Sustainable Energy Authority of Ireland,Semi-state agency ,2025-06-20T11:59:18.033Z
"Continue to provide SEAI supports for small businesses across the country, including provision of advice through www.seai.ie, to help them to be more energy efficient and therefore more competitive and environmentally sustainable.",Provide SEAI energy efficiency support,Realising our Rural Potential - Action Plan for Rural Development,"Department of Communications, Climate Action and the Environment","Department of Environment, Climate and Communications",2025-06-20T11:59:18.033Z
"Continue to provide SEAI supports for small businesses across the country, including provision of advice through www.seai.ie, to help them to be more energy efficient and therefore more competitive and environmentally sustainable.",Provide SEAI energy efficiency support,Realising our Rural Potential - Action Plan for Rural Development,Údarás na Gaeltachta,Government Semi State Agency,2025-06-20T11:59:18.033Z
"Continue implementation of the Forestry Programme (2014- 2020) by increasing annual planting, carbon sequestration and more effective land management.",Implement forestry and land programme,Realising our Rural Potential - Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine",2025-06-20T11:59:18.033Z
"Continue implementation of the Forestry Programme (2014- 2020) by increasing annual planting, carbon sequestration and more effective land management.",Implement forestry and land programme,Realising our Rural Potential - Action Plan for Rural Development,"Department of Agriculture, Food and the Marine","Department of Agriculture, Food and the Marine",2025-06-20T11:59:18.033Z
